name	chr	start	end	value	stage	tissue	genotype	prot	rep
CBS3	chr2	74693983	74694484	35.865988786587	E10.5	trunk	Del(CBS1-4)	RAD21	rep2
CBS2	chr2	74702151	74702652	186.139206161042	E10.5	trunk	Del(CBS1-4)	RAD21	rep2
CBS1	chr2	74715677	74716178	43.9659740805864	E10.5	trunk	Del(CBS1-4)	RAD21	rep2
CBS8	chr2	74661755	74662256	548.35503060042	E10.5	trunk	Del(CBS1-5)	RAD21	rep1
CBS7	chr2	74663501	74664002	307.720662861289	E10.5	trunk	Del(CBS1-5)	RAD21	rep1
CBS6	chr2	74672932	74673433	331.273672016319	E10.5	trunk	Del(CBS1-5)	RAD21	rep1
CBS5	chr2	74686235	74686736	40.5074411837641	E10.5	trunk	Del(CBS1-5)	RAD21	rep1
CBS4	chr2	74691519	74692020	48.8101699280882	E10.5	trunk	Del(CBS1-5)	RAD21	rep1
CBS3	chr2	74693983	74694484	38.3094436046296	E10.5	trunk	Del(CBS1-5)	RAD21	rep1
CBS2	chr2	74702151	74702652	139.934815305912	E10.5	trunk	Del(CBS1-5)	RAD21	rep1
CBS1	chr2	74715677	74716178	45.798219353377	E10.5	trunk	Del(CBS1-5)	RAD21	rep1
CBS8	chr2	74661755	74662256	373.239030057561	E10.5	trunk	Del(CBS1-5)	RAD21	rep2
CBS7	chr2	74663501	74664002	163.784648354658	E10.5	trunk	Del(CBS1-5)	RAD21	rep2
CBS6	chr2	74672932	74673433	348.138048965454	E10.5	trunk	Del(CBS1-5)	RAD21	rep2
CBS5	chr2	74686235	74686736	59.2725540435243	E10.5	trunk	Del(CBS1-5)	RAD21	rep2
CBS4	chr2	74691519	74692020	78.6403539965966	E10.5	trunk	Del(CBS1-5)	RAD21	rep2
CBS3	chr2	74693983	74694484	35.0541492076402	E10.5	trunk	Del(CBS1-5)	RAD21	rep2
CBS2	chr2	74702151	74702652	89.8027892731383	E10.5	trunk	Del(CBS1-5)	RAD21	rep2
CBS1	chr2	74715677	74716178	66.3132987260343	E10.5	trunk	Del(CBS1-5)	RAD21	rep2
CBS8	chr2	74661755	74662256	319.977491062796	E10.5	trunk	WT	RAD21	rep1
CBS7	chr2	74663501	74664002	170.213829748645	E10.5	trunk	WT	RAD21	rep1
CBS6	chr2	74672932	74673433	357.028113755399	E10.5	trunk	WT	RAD21	rep1
CBS5	chr2	74686235	74686736	78.6566803831302	E10.5	trunk	WT	RAD21	rep1
CBS4	chr2	74691519	74692020	205.948234664704	E10.5	trunk	WT	RAD21	rep1
CBS3	chr2	74693983	74694484	60.4214231525353	E10.5	trunk	WT	RAD21	rep1
CBS2	chr2	74702151	74702652	454.191916094569	E10.5	trunk	WT	RAD21	rep1
CBS1	chr2	74715677	74716178	974.139559504039	E10.5	trunk	WT	RAD21	rep1
CBS8	chr2	74661755	74662256	634.011976047904	E10.5	trunk	WT	RAD21	rep2
CBS7	chr2	74663501	74664002	351.836327345309	E10.5	trunk	WT	RAD21	rep2
CBS6	chr2	74672932	74673433	501.097804391218	E10.5	trunk	WT	RAD21	rep2
CBS5	chr2	74686235	74686736	82.4950099800399	E10.5	trunk	WT	RAD21	rep2
CBS4	chr2	74691519	74692020	484.750499001996	E10.5	trunk	WT	RAD21	rep2
CBS3	chr2	74693983	74694484	58.2634730538922	E10.5	trunk	WT	RAD21	rep2
CBS2	chr2	74702151	74702652	522.085828343313	E10.5	trunk	WT	RAD21	rep2
CBS1	chr2	74715677	74716178	895.499001996008	E10.5	trunk	WT	RAD21	rep2
CBS8	chr2	74661755	74662256	610.484253103726	E10.5	trunk	WT	RAD21	rep3
CBS7	chr2	74663501	74664002	411.442501158397	E10.5	trunk	WT	RAD21	rep3
CBS6	chr2	74672932	74673433	437.641417743475	E10.5	trunk	WT	RAD21	rep3
CBS5	chr2	74686235	74686736	101.868401084967	E10.5	trunk	WT	RAD21	rep3
CBS4	chr2	74691519	74692020	370.622765873109	E10.5	trunk	WT	RAD21	rep3
CBS3	chr2	74693983	74694484	55.1787922829007	E10.5	trunk	WT	RAD21	rep3
CBS2	chr2	74702151	74702652	471.781032452394	E10.5	trunk	WT	RAD21	rep3
CBS1	chr2	74715677	74716178	898.168804376459	E10.5	trunk	WT	RAD21	rep3
CBS8	chr2	74661755	74662256	595.732994308015	E10.5	trunk	WT	RAD21	rep4
CBS7	chr2	74663501	74664002	320.108870607174	E10.5	trunk	WT	RAD21	rep4
CBS6	chr2	74672932	74673433	325.976906142549	E10.5	trunk	WT	RAD21	rep4
CBS5	chr2	74686235	74686736	62.3651782357526	E10.5	trunk	WT	RAD21	rep4
CBS4	chr2	74691519	74692020	375.143350155768	E10.5	trunk	WT	RAD21	rep4
CBS3	chr2	74693983	74694484	43.8823340562527	E10.5	trunk	WT	RAD21	rep4
CBS2	chr2	74702151	74702652	328.614041098102	E10.5	trunk	WT	RAD21	rep4
CBS1	chr2	74715677	74716178	851.550987380707	E10.5	trunk	WT	RAD21	rep4
