gene_id	gene_short_name	chr	gene_biotype	DFL	DFL_Del(CBS1)_l2fc	DFL_Del(CBS1)_padj	DFL_Del(CBS1-2)_l2fc	DFL_Del(CBS1-2)_padj	DFL_Del(CBS1-3)_l2fc	DFL_Del(CBS1-3)_padj	DFL_Del(CBS1-4)_l2fc	DFL_Del(CBS1-4)_padj	DFL_Del(CBS1-5)_l2fc	DFL_Del(CBS1-5)_padj	PFL	PFL_Del(CBS1)_l2fc	PFL_Del(CBS1)_padj	PFL_Del(CBS1-2)_l2fc	PFL_Del(CBS1-2)_padj	PFL_Del(CBS1-3)_l2fc	PFL_Del(CBS1-3)_padj	PFL_Del(CBS1-4)_l2fc	PFL_Del(CBS1-4)_padj	PFL_Del(CBS1-5)_l2fc	PFL_Del(CBS1-5)_padj
ENSMUSG00000025907	Rb1cc1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000087247	Alkal1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000033740	St18	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000051285	Pcmtd1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025909	Sntg1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000061024	Rrs1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025911	Adhfe1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067879	Vxn	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025912	Mybl1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000045210	Vcpip1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025915	Sgk3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000046101	Mcmdc2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099032	Tcf24	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025916	Ppp1r42	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025917	Cops5	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000056763	Cspp1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067851	Arfgef1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000042501	Cpa6	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000048960	Prex2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000057715	A830018L16Rik	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000016918	Sulf1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025938	Slco5a1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000042414	Prdm14	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000005886	Ncoa2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025935	Tram1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025937	Lactb2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067813	Xkr9	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025932	Eya1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025930	Msc	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000032769	Trpa1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000092083	Kcnb2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025925	Terf1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000032719	Sbspon	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067795	4930444P10Rik	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000043716	Rpl7	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025921	Rdh10	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025920	Stau2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025939	Ube2w	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000079658	Eloc	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025940	Tmem70	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025779	Ly96	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000042686	Jph1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025777	Gdap1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067780	Pi15	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025776	Crispld1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025774	Crisp4	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000073735	Defb18	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067773	Defb41	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000042596	Tfap2d	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025927	Tfap2b	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000043760	Pkhd1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025929	Il17a	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000041872	Il17f	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000041859	Mcm3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025931	Paqr8	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000041809	Efhc1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000041779	Tram2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025933	Tmem14a	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025934	Gsta3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067750	Khdc1a	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000041722	Khdc1c	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000085079	Khdc1b	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000028033	Kcnq5	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000041670	Rims1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000073730	Ppp1r14bl	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026158	Ogfrl1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026156	B3gat2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026155	Smap1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026154	Sdhaf4	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026153	Fam135a	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026147	Col9a1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026141	Col19a1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000073725	Lmbrd1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000033569	Adgrb3	chr1	protein_coding	Del(CBS1-4)	NA	NA	NA	NA	NA	NA	-1.25813720695888	0.0443442934450622	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000073722	4931408C20Rik	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000048411	Gm597	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000048874	Phf3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026064	Ptp4a1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000117091	Gm5698	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000086727	4931428L18Rik	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000050217	Lgsn	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026063	Pih1d3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026058	Khdrbs2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000091318	Gm5415	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026134	Prim2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000004768	Rab23	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000042215	Bag2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000042197	Zfp451	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000042182	Bend6	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026131	Dst	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000042111	Ccdc115	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026127	Imp4	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026126	Ptpn18	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026125	Prss39	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026124	Cfc1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000037529	Prss40	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000045174	Amer3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000037509	Arhgef4	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000037503	Fam168b	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026123	Plekhb2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000045216	Hs6st1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000037470	Uggt1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000047180	Neurl3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000037447	Arid5a	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000010453	Kansl3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000037432	Fer1l5	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000001143	Lman2l	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000037408	Cnnm4	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000001138	Cnnm3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067653	Ankrd23	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000079610	Ankrd39	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026121	Sema4c	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000046337	Fam178b	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000061518	Cox5b	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000037351	Actr1b	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102416	4933424G06Rik	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026117	Zap70	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026116	Tmem131	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000050122	Vwa3b	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026114	Cnga3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026113	Inpp4a	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026112	Coa5	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026111	Unc50	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026110	Mgat4a	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026090	2010300C02Rik	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000060771	Tsga10	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000037216	Lipt1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026088	Mitd1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026087	Mrpl30	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000061584	Lyg2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026085	Lyg1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000058407	Txndc9	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026083	Eif5b	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026082	Rev1	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000037138	Aff3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000048814	Lonrf2	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026080	Chst10	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067604	Nms	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026078	Pdcl3	chr1	protein_coding		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
